p,cooperativity,gpg_mode,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,trace_state,phase_aligned_state_error,source,sequence_file
0.0005,100000000.0,erroneous,feedback U_1,5,8,-0.662222567798154,0.0,-0.6622225677981541,0.9910867487123314,0.008913251287668622,0.996449079059998,,optimized feedback U_1:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_05.csv
0.0005,100000000.0,erroneous,feedback U_1,7,8,0.6622225677981539,0.0,0.6622225677981541,0.9910999267293195,0.008900073270680542,0.9975330919272226,,optimized feedback U_1:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_07.csv
0.0005,100000000.0,erroneous,feedback U_1,8,8,1.0752719710619876,0.0,1.0752719710619871,0.992053132906498,0.007946867093502008,0.9976068828776644,,optimized feedback U_1:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_1__eig_08.csv
0.0005,100000000.0,erroneous,feedback U_2,0,10,-1.4081683845217599,0.0,-1.4081683845217599,0.9953846820010941,0.00461531799890591,0.9973456637661517,,optimized feedback U_2:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_00.csv
0.0005,100000000.0,erroneous,feedback U_2,1,10,-2.232288807941853,0.0,-2.232288807941853,0.9944160364541241,0.00558396354587587,0.9977381372818368,,optimized feedback U_2:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_01.csv
0.0005,100000000.0,erroneous,feedback U_2,2,10,-0.4834513333424722,0.0,-0.48345133334247237,0.9927727737651197,0.007227226234880257,0.9979030847765625,,optimized feedback U_2:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_02.csv
0.0005,100000000.0,erroneous,feedback U_2,4,9,0.4834513333424722,0.0,0.48345133334247237,0.996568121039106,0.0034318789608940303,0.9993267804938466,,optimized feedback U_2:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_04.csv
0.0005,100000000.0,erroneous,feedback U_2,5,10,3.141592653589793,0.0,-3.141592653589793,0.992055807319828,0.007944192680171991,0.9977588759307231,,optimized feedback U_2:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_05.csv
0.0005,100000000.0,erroneous,feedback U_2,6,10,1.4081683845217599,0.0,1.40816838452176,0.9932283391220598,0.006771660877940233,0.9974261468220567,,optimized feedback U_2:6 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_06.csv
0.0005,100000000.0,erroneous,feedback U_2,7,10,2.232288807941853,0.0,2.2322888079418526,0.9896017924038447,0.010398207596155284,0.9955233095626368,,optimized feedback U_2:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_2__eig_07.csv
0.0005,100000000.0,erroneous,feedback U_3,1,11,3.141592653589793,0.0,-3.141592653589793,0.9901768794485951,0.009823120551404885,0.9969744113387907,,optimized feedback U_3:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep08__feedback_u_3__eig_01.csv
