p,cooperativity,gpg_mode,factor,eig_index,pulse,alpha,beta,gamma,kappa,sequence_file
0.0005,1000000.0,erroneous,feedback U_0,2,1,1.873388883009431,-2.8701328993460726,-0.9016196463670124,-8.692390792193401e-05,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,2,-1.9746746847145367,0.6552175204263261,2.6196641198171164,-1.0256592176489845,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,3,-0.5008478327271487,2.797684222772679,2.110310135444285,-0.3990761040723216,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,4,0.5894126818668461,2.882406634789207,-2.936337304098633,-1.6206022593404952,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,5,2.9562025354893393,2.3264034333523638,-2.906702685651673,-1.9695568781807038,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,6,0.20744242234287258,-0.11414848983356808,-2.19871582997098,-0.9020205043452152,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,7,-0.017779834897311643,1.9338090240879253,1.2702438839231411,-0.7293551387223031,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,8,2.3796427157304767,-1.3319815871148406,3.0123660124757903,-0.5563415668312874,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,2,9,1.9309319196825976,1.4440399569671172,-0.35170555257360164,2.3098358167431443,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,3,1,3.101242253284392,-3.112349420308005,-3.1415920906558643,-0.04762023932467385,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
