p,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,phase_aligned_state_error,source_file
4.641588833612782e-05,feedback U_0,0,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999809128,1.9087176283960616e-11,4.3688930300457314e-06,sequences/p_4p641588833613em05__feedback_u_0__eig_00.csv
4.641588833612782e-05,feedback U_0,2,9,0.00012060040291269505,0.0,0.00012060040291261842,0.9999999999985509,1.4490630917407543e-12,1.204047544396365e-06,sequences/p_4p641588833613em05__feedback_u_0__eig_02.csv
4.641588833612782e-05,feedback U_0,3,9,-0.00012060040291270314,0.0,-0.00012060040291261842,0.9999999999975033,2.496669537777052e-12,1.5801082294230064e-06,sequences/p_4p641588833613em05__feedback_u_0__eig_03.csv
4.641588833612782e-05,feedback U_0,6,8,3.141592653589793,0.0,-3.141592653589793,0.9999999999952298,4.7701842476044476e-12,2.1840777290979356e-06,sequences/p_4p641588833613em05__feedback_u_0__eig_06.csv
4.641588833612782e-05,feedback U_1,0,10,-3.141592653589793,0.0,-3.141592653589793,0.9999999999991698,8.302247778146921e-13,9.112897344282082e-07,sequences/p_4p641588833613em05__feedback_u_1__eig_00.csv
4.641588833612782e-05,feedback U_1,1,10,-1.122963929865964,0.0,-1.1229639298659642,0.9999999999983811,1.6189272145084033e-12,1.2724543762438502e-06,sequences/p_4p641588833613em05__feedback_u_1__eig_01.csv
4.641588833612782e-05,feedback U_1,3,10,1.122963929865964,0.0,1.1229639298659642,0.9999999999988971,1.1028955526626305e-12,1.0500948648990684e-06,sequences/p_4p641588833613em05__feedback_u_1__eig_03.csv
4.641588833612782e-05,feedback U_1,4,10,2.357223077397147,0.0,2.3572230773971476,0.99999999999779,2.2100099528188366e-12,1.4865847850862238e-06,sequences/p_4p641588833613em05__feedback_u_1__eig_04.csv
4.641588833612782e-05,feedback U_1,5,10,-2.357223077397147,0.0,-2.357223077397147,0.9999999999983289,1.6711076966657856e-12,1.2926511239179908e-06,sequences/p_4p641588833613em05__feedback_u_1__eig_05.csv
4.641588833612782e-05,feedback U_1,6,10,0.27579633533306835,0.0,0.2757963353330686,0.9999999999983051,1.694866469392764e-12,1.3020786447626452e-06,sequences/p_4p641588833613em05__feedback_u_1__eig_06.csv
4.641588833612782e-05,feedback U_1,7,10,-0.27579633533306824,0.0,-0.27579633533306813,0.9999999999984421,1.5578649481540197e-12,1.248216801263139e-06,sequences/p_4p641588833613em05__feedback_u_1__eig_07.csv
4.641588833612782e-05,feedback U_2,0,10,-2.274280484112658,0.0,-2.274280484112658,0.9999999999992126,7.87370169064161e-13,8.874181354806011e-07,sequences/p_4p641588833613em05__feedback_u_2__eig_00.csv
4.641588833612782e-05,feedback U_2,1,10,-3.141592653589793,0.0,-3.141592653589793,0.9999999999978322,2.1678214778830807e-12,1.4725042935697934e-06,sequences/p_4p641588833613em05__feedback_u_2__eig_01.csv
4.641588833612782e-05,feedback U_2,2,10,-1.3335623726296095,0.0,-1.3335623726296095,0.9999999999983824,1.617594946878853e-12,1.271974084001147e-06,sequences/p_4p641588833613em05__feedback_u_2__eig_02.csv
4.641588833612782e-05,feedback U_2,3,10,2.274280484112658,0.0,2.2742804841126585,0.9999999999979996,2.000399845769607e-12,1.4144186536968135e-06,sequences/p_4p641588833613em05__feedback_u_2__eig_03.csv
4.641588833612782e-05,feedback U_2,4,10,-0.5644623420739098,0.0,-0.5644623420739099,0.9999999999972611,2.738920201750261e-12,1.655001892647603e-06,sequences/p_4p641588833613em05__feedback_u_2__eig_04.csv
4.641588833612782e-05,feedback U_2,6,10,0.5644623420739099,0.0,0.5644623420739099,0.999999999999696,3.0397906414236786e-13,5.515670529923987e-07,sequences/p_4p641588833613em05__feedback_u_2__eig_06.csv
4.641588833612782e-05,feedback U_2,7,10,1.3335623726296095,0.0,1.3335623726296095,0.9999999999987605,1.2394529846915248e-12,1.1132710246393078e-06,sequences/p_4p641588833613em05__feedback_u_2__eig_07.csv
4.641588833612782e-05,feedback U_3,0,9,3.141351435993568,0.0,3.1413514359935686,0.9999999999993712,6.288303211476887e-13,7.93199070458254e-07,sequences/p_4p641588833613em05__feedback_u_3__eig_00.csv
4.641588833612782e-05,feedback U_3,1,9,-3.141351435993568,0.0,-3.141351435993568,0.9999999999955633,4.4366732510070506e-12,2.1063496578354016e-06,sequences/p_4p641588833613em05__feedback_u_3__eig_01.csv
4.641588833612782e-05,feedback U_3,2,11,3.1414720531868805,0.0,3.141472053186881,0.9999999999984301,1.5698553568199713e-12,1.2529612337680765e-06,sequences/p_4p641588833613em05__feedback_u_3__eig_02.csv
4.641588833612782e-05,feedback U_3,3,11,-3.1414720531868805,0.0,-3.1414720531868805,0.9999999999993339,6.661338147750939e-13,8.162349185432841e-07,sequences/p_4p641588833613em05__feedback_u_3__eig_03.csv
4.641588833612782e-05,stage 0 split entangler,8,7,-8.376600946795968e-20,1.5707963267948966,-1.5707963267948966,0.9999999999760958,2.3904211943204245e-11,4.889205628002859e-06,sequences/p_4p641588833613em05__stage_0_split_entangler__eig_08.csv
4.641588833612782e-05,stage 0 split entangler,9,9,3.059692096910181e-17,1.5707963267948966,-1.5707963267948966,0.9999999999979556,2.0443646775447633e-12,1.4299652679887083e-06,sequences/p_4p641588833613em05__stage_0_split_entangler__eig_09.csv
4.641588833612782e-05,stage 1 split entangler,3,8,1.5707963267948966,0.0,1.5707963267948966,0.9999999990046762,9.953238233606498e-10,3.1548754227475685e-05,sequences/p_4p641588833613em05__stage_1_split_entangler__eig_03.csv
4.641588833612782e-05,stage 1 split entangler,6,8,1.5707963267948966,0.0,1.5707963267948966,0.9999999999952298,4.7701842476044476e-12,2.1840777290979356e-06,sequences/p_4p641588833613em05__stage_1_split_entangler__eig_06.csv
0.0001,feedback U_0,0,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999983389,1.6611156894441592e-12,1.2887555938264882e-06,sequences/p_1p000000000000em04__feedback_u_0__eig_00.csv
0.0001,feedback U_0,1,9,0.0003675335539362997,0.0,0.0003675335539363722,0.9999999999986393,1.3606893389805919e-12,1.166570809570993e-06,sequences/p_1p000000000000em04__feedback_u_0__eig_01.csv
0.0001,feedback U_0,2,9,-0.0003675335539362788,0.0,-0.0003675335539363722,0.9999999999967419,3.2580604880649844e-12,1.8050917211900456e-06,sequences/p_1p000000000000em04__feedback_u_0__eig_02.csv
0.0001,feedback U_0,4,9,3.141592653589793,0.0,-3.141592653589793,0.9999999999458835,5.4116489067723705e-11,7.3564086095311665e-06,sequences/p_1p000000000000em04__feedback_u_0__eig_04.csv
0.0001,feedback U_1,0,8,-3.141592653589793,0.0,-3.141592653589793,0.9999999999980778,1.922240144835996e-12,1.3865886324001899e-06,sequences/p_1p000000000000em04__feedback_u_1__eig_00.csv
0.0001,feedback U_1,1,8,-1.122963929865964,0.0,-1.1229639298659642,0.9999999999953071,4.692912725090537e-12,2.166309511779347e-06,sequences/p_1p000000000000em04__feedback_u_1__eig_01.csv
0.0001,feedback U_1,3,8,1.122963929865964,0.0,1.1229639298659642,0.9999999986510386,1.3489613870376616e-09,3.6728208363433134e-05,sequences/p_1p000000000000em04__feedback_u_1__eig_03.csv
0.0001,feedback U_1,4,8,2.251945390822961,0.0,2.2519453908229607,0.9999999999883311,1.1668888078020245e-11,3.415977405916069e-06,sequences/p_1p000000000000em04__feedback_u_1__eig_04.csv
0.0001,feedback U_1,5,8,-2.2519453908229616,0.0,-2.2519453908229616,0.9999999999983669,1.6331380692236053e-12,1.277948400131265e-06,sequences/p_1p000000000000em04__feedback_u_1__eig_05.csv
0.0001,feedback U_1,6,8,0.5518563586276236,0.0,0.5518563586276235,0.9999999999947438,5.256239887785341e-12,2.292746069283193e-06,sequences/p_1p000000000000em04__feedback_u_1__eig_06.csv
0.0001,feedback U_1,7,8,-0.5518563586276237,0.0,-0.5518563586276235,0.9999999999981117,1.8882673202824662e-12,1.374093602971781e-06,sequences/p_1p000000000000em04__feedback_u_1__eig_07.csv
0.0001,feedback U_2,0,7,-3.141592653589793,0.0,-3.141592653589793,0.999999991770588,8.229412040705597e-09,9.07161080090943e-05,sequences/p_1p000000000000em04__feedback_u_2__eig_00.csv
0.0001,feedback U_2,1,7,2.2742804841232167,0.0,2.274280484123217,0.9999999999960392,3.9608316626527085e-12,1.9902242051250352e-06,sequences/p_1p000000000000em04__feedback_u_2__eig_01.csv
0.0001,feedback U_2,2,7,-2.2742804841232167,0.0,-2.2742804841232167,0.9999999999936158,6.3842264808045e-12,2.5267314222563606e-06,sequences/p_1p000000000000em04__feedback_u_2__eig_02.csv
0.0001,feedback U_2,3,7,1.3335623726093464,0.0,1.3335623726093466,0.9999999999870244,1.2975620578004055e-11,3.6022185904896967e-06,sequences/p_1p000000000000em04__feedback_u_2__eig_03.csv
0.0001,feedback U_2,4,7,-1.3335623726093464,0.0,-1.3335623726093464,0.999997440511484,2.5594885160185044e-06,0.0015998406650975492,sequences/p_1p000000000000em04__feedback_u_2__eig_04.csv
0.0001,feedback U_2,5,10,-0.5644623420956751,0.0,-0.5644623420956751,0.9999999999986935,1.3065104553788842e-12,1.1432034227913044e-06,sequences/p_1p000000000000em04__feedback_u_2__eig_05.csv
0.0001,feedback U_2,6,7,0.5644623420956753,0.0,0.5644623420956751,0.9999999999887637,1.1236345187626284e-11,3.3520250394442456e-06,sequences/p_1p000000000000em04__feedback_u_2__eig_06.csv
0.0001,feedback U_3,1,11,-3.141225120035857,0.0,-3.141225120035857,0.9999999999989913,1.0087486401744172e-12,1.0044790134642434e-06,sequences/p_1p000000000000em04__feedback_u_3__eig_01.csv
0.0001,feedback U_3,2,11,3.141225120035857,0.0,3.141225120035857,0.999999999999621,3.7903014060702844e-13,6.157268261429614e-07,sequences/p_1p000000000000em04__feedback_u_3__eig_02.csv
0.0001,feedback U_3,4,9,3.1414089143625836,0.0,3.141408914362584,0.999999999997577,2.4229507289419416e-12,1.5567253920806353e-06,sequences/p_1p000000000000em04__feedback_u_3__eig_04.csv
0.0001,feedback U_3,5,9,-3.1414089143625836,0.0,-3.1414089143625836,0.9999999999969287,3.071320975323033e-12,1.7525400287707933e-06,sequences/p_1p000000000000em04__feedback_u_3__eig_05.csv
0.0001,stage 0 split entangler,8,10,-4.328032447199613e-17,1.5707963267948966,-1.5707963267948966,0.9999999999993678,6.321609902215641e-13,7.950543400655769e-07,sequences/p_1p000000000000em04__stage_0_split_entangler__eig_08.csv
0.0001,stage 0 split entangler,9,11,-1.2188437632599865e-17,1.5707963267948966,-1.5707963267948966,0.9999999999992322,7.678302438307583e-13,8.765006520548881e-07,sequences/p_1p000000000000em04__stage_0_split_entangler__eig_09.csv
0.0001,stage 1 split entangler,1,10,1.5707963267948968,0.0,1.5707963267948966,0.9999999999977442,2.255751141433393e-12,1.5019369518349954e-06,sequences/p_1p000000000000em04__stage_1_split_entangler__eig_01.csv
0.0001,stage 1 split entangler,5,10,1.5707963267948966,0.0,1.5707963267948966,0.99999999999534,4.660050123561632e-12,2.158759948433938e-06,sequences/p_1p000000000000em04__stage_1_split_entangler__eig_05.csv
0.00021544346900318823,feedback U_0,0,9,0.0011201987794497888,0.0,0.0011201987794495771,0.9999999999994229,5.770939282001564e-13,7.598611356838881e-07,sequences/p_2p154434690032em04__feedback_u_0__eig_00.csv
0.00021544346900318823,feedback U_0,1,9,-0.001120198779449802,0.0,-0.0011201987794500212,0.9999999999969518,3.0482283364108298e-12,1.7458680470196922e-06,sequences/p_2p154434690032em04__feedback_u_0__eig_01.csv
0.00021544346900318823,feedback U_0,2,9,1.5707963267948966,0.0,1.5707963267948966,0.9999999999933786,6.621370118864434e-12,2.5731916946013336e-06,sequences/p_2p154434690032em04__feedback_u_0__eig_02.csv
