p,cooperativity,factor,eig_index,pulse_index,alpha,beta,gamma,kappa,detuning,cache_key
0.0005,1000000.0,feedback U_0,4,1,-0.16121727958126386,0.02471457440598528,1.0933584010423874,0.026167394890760254,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,2,1.6293228052115487,1.464658355289332,2.7392743994219337,0.06204304732418364,0.07133343398908075,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,3,1.3234764416718214,0.67907396062352,2.978279417814156,0.37946997626407225,0.6633281555660805,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,4,3.03432948354797,3.06345419075562,0.25348828846286653,-0.00029725805111338843,0.7127368483357052,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,5,-0.7012028909557632,-1.106452794194872,-2.6488451125125945,-1.180142739440886,0.6795535793304984,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,6,0.7262301031482101,0.6356166408469217,0.379726337449378,0.6025675511212759,0.9773103901777754,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,7,2.905424033268265,1.6395551407138242,0.8763596203693284,0.32707755464095045,1.2047656994881237,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,8,2.5753695645262935,-1.076886633791107,-1.0682634026907365,-0.20608145128073074,1.268530929827124,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,4,9,-2.696841420033971,-2.881539833023757,-1.3561676579611956,2.2497336149078926,1.4054945234542864,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,1,1.5169578152168353,3.1255626504545218,-2.1729980379158467,-1.5530916696647663e-05,0.474107569516656,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,2,-1.117947622843034,-0.01935597169932812,2.9260520823071583,-2.982395061522033,1.4444857487103269,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,3,-2.357443874367635,-1.4239153735155805,0.6553214321819476,2.4217860371121938,4.918925289623218,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,4,0.6180619132296647,1.5396855653626087,-2.3714389308978783,1.1428135509716393,0.7171354151578437,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,5,2.334470869477579,0.9335981523306264,1.9633933223348226,-0.08912427755248402,1.859575417331259,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,6,0.28521781468351803,0.645066580225978,-1.3054773692586175,2.214429919477058,1.0933270639936084,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,7,-1.0241121182472934,0.8449132754407879,1.0626633057416826,-2.0389047083280776,1.0799111065171478,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,0,8,-2.1701772173608647,-3.065107307259053,1.7134436480219517,2.943466797446585,0.8505645476321839,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,1,-0.00663213149755158,0.5897091883045236,-2.087446579738563,2.6384236995554224,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,2,-2.7403188403087286,-2.3361023111913832,-0.9388951800000329,-1.8276699210171772,0.29049145397892506,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,3,-0.7041989592143136,0.41246178922999277,1.5908190961535498,1.4283270927552978,1.3728202010585104,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,4,-1.2406610164282128,0.6080578061241069,-1.2120688096453471,-0.5263805820796231,1.251852703581674,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,5,-0.476534346723298,0.536040471641845,-2.8418615734286945,2.7247126205542678,1.4251603453050887,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,6,3.0783075873102757,1.0981743915562536,0.6866865293627397,0.41787914811547966,1.308427462831795,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,7,-1.7712323245432338,1.6773716872816433,3.0783074447490058,2.963278827248896,0.9913651212540434,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,1,8,2.618563642705073,1.6958297702843876,-0.4610999991018413,1.8526522140483963,0.9107282263653356,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,1,-2.7800135953883065,2.1049631664091772,2.503309637148419,-1.4605553686357542,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_1,2,2,0.5867725510796236,-1.6763787556854477,1.6282747108978337,-1.1775622510105184,0.8121360922147786,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
